Category,Data Point,How It's Used / Applied,How to Access (High Level),Additional Context (Expanded reasoning from reports)
Sector/Industry,"Industry KPIs (e.g., EIA for Energy)",Tie fundamentals to real activity; anticipate earnings.,"Agency datasets (EIA, TSA, etc.), industry reports.",Domain KPIs beat generic indicators for stock-picking within industries.
Sector/Industry,Equal-Weight vs Cap-Weight Spreads,Detect concentration risk and breadth quality.,"ETF data (RSP vs SPY, RCD vs XLY).",Narrow leadership is fragile; use as caution flag.
Macro/Economic,Inflation (CPI/PCE),Multiple expansion/compression; rate path expectations.,BLS/BEA/FRED feeds.,Sticky subcomponents (services) matter more for policy trajectory.
Macro/Economic,"Employment (NFP, Claims, JOLTS)",Growth and wage pressure proxy; cyclical intensity.,BLS; weekly/daily releases via calendars.,Labor tightness drives margin and policy expectations.
Macro/Economic,"Growth (GDP, ISM/PMI, Retail Sales)",Cycle phase ID; revenue sensitivity by sector.,BEA/ISM/Census APIs; calendars.,Diffusion indices (PMIs) are useful for turning points.
Macro/Economic,"Policy (FOMC, Dot Plot, Minutes)",Risk premia and discount rate anchor.,"Fed site, calendars, vendor terminals.",Forward guidance and balance sheet path dominate cross-asset pricing.
Macro/Economic,"Fiscal (Deficits, Issuance)",Term premium and liquidity effects.,Treasury statements; vendor aggregates.,Supply of duration can pressure long-end yields and equities’ multiples.
Rates/Credit/Liquidity,"Yield Curve (2s10s), Real Yields",Risk regime signal; equity sector tilts.,Treasury yields via FRED; TIPS breakevens.,Inversions flag late-cycle; real yields correlate with growth/tech leadership.
Rates/Credit/Liquidity,Credit Spreads (IG/HY),Stress monitor; leads risk-off in equities.,ICE/CBOE/FINRA TR; vendor dashboards.,Widening spreads + rising vol = de-risk; improving spreads support risk-on.
Rates/Credit/Liquidity,MOVE Index / Funding Stress,Bond-vol and liquidity proxy; portfolio risk throttle.,ICE/Merrill data via vendors.,High MOVE with stable VIX can foreshadow equity vol regime shifts.
Rates/Credit/Liquidity,Repo/FX Basis/Liquidity Gauges,Plumbing health; tail-risk early warnings.,Specialist macro data vendors.,Liquidity shocks can overwhelm micro-level signals; monitor as guardrails.
Intermarket,Equities vs Bonds (SPY/TLT),Risk preference barometer; allocation and timing.,ETF price data; compute ratios.,Persisting leadership informs factor tilts (growth/value).
Intermarket,Dollar vs Commodities (DXY vs CRB/Oil),Macro impulse; EM and commodity equities.,FX + commodity futures; ETF proxies.,Dollar trends transmit into earnings through translation and demand.
Intermarket,Gold vs Real Yields,Inflation hedge vs opportunity cost; signal for precious metals equities.,Gold futures/spot + TIPS data.,Real-yield downtrends support gold; divergence warns of narrative breaks.
Intermarket,Semis vs Cyclicals/Industrials,Growth cycle early indicator; capex impulse.,SOX vs XLI/XLF ratios.,Semis leadership often precedes broader cyclical upturns.
Commodities/Energy,Futures Curves (Contango/Backwardation),Inventory/shortage signals; roll yield impact on ETFs.,CME futures term structures.,Backwardation favors longs; contango penalizes buy-and-hold futures ETFs.
Commodities/Energy,EIA Inventories/Refinery Runs,Supply/demand balance; energy equities sensitivity.,EIA weekly reports/APIs.,Inventory surprises move crude and products quickly.
Commodities/Energy,Crack Spreads & Margins,Refiner profitability; equity pair trades.,Derived from gasoline/diesel vs crude futures.,Track seasonal patterns and maintenance cycles.
Commodities/Energy,Shipping/Baltic Dry Index,Global trade pulse; commodity demand proxy.,Baltic Exchange indices via vendors.,Useful for industrials/materials cyclical timing.
Commodities/Energy,Weather (Crops/Storms),Commodity supply risks; trade ags/insurers/utilities.,Weather vendors/APIs; NOAA data.,Event-driven; blend with seasonal tendencies.
FX,DXY & Major Crosses,Macro risk and earnings translation; commodity sensitivity.,Broker/FX APIs; ETF proxies.,Dollar regimes shape sector leadership and EM risk.
FX,Rate Differentials & Carry,FX direction bias and funding mix.,Rates data (FRED) + FX prices.,Carry works until volatility spikes; pair with risk gauges.
FX,Positioning (COT),Crowding indicator; contrarian or continuation filter.,CFTC weekly reports.,Large spec extremes precede squeezes; use with price action.
Crypto (On-Chain/Derivatives),Exchange Reserves & Net Flows,Liquidity/availability; accumulation vs distribution.,Glassnode/Nansen; exchange APIs.,Falling reserves + rising price suggests supply squeeze potential.
Crypto (On-Chain/Derivatives),Whale Wallet Activity,Sign of informed flows; risk-on/off tell.,On-chain explorers/vendors.,Whale accumulation into weakness often precedes upswings.
Crypto (On-Chain/Derivatives),Active Addresses/Network Usage,Fundamental demand proxy; adoption trend.,On-chain analytics vendors; public nodes.,Sustained growth supports trend durability; watch for divergence.
Crypto (On-Chain/Derivatives),Stablecoin Supply & Dominance,Dry powder and rotation signal; liquidity regime.,On-chain data; DefiLlama dashboards.,Expanding stablecoins often precede risk-on rotations.
Crypto (On-Chain/Derivatives),"Funding Rates, OI, Long/Short",Perp market positioning and squeeze risk.,Exchange derivatives APIs.,Positive funding + crowded longs raise liquidation risk.
Crypto (On-Chain/Derivatives),Token Unlocks & Vesting,Supply overhang; event risk.,Project docs/TokenUnlocks calendars.,Size unlock vs float/ADV to assess impact.
Crypto (On-Chain/Derivatives),TVL & Cross-Chain Flows,Capital rotation across ecosystems; narrative momentum.,"DefiLlama, Dune dashboards.",TVL growth + developer activity reinforces sustainable trends.
Crypto (On-Chain/Derivatives),Dev Activity/Governance/NFT Volumes,Ecosystem vitality and community focus.,"GitHub metrics, governance forums, marketplaces.",Signals vary by sector; triangulate with price/flows.
ETF/Flows/Positioning,ETF Creations/Redemptions,Detect passive flows; near-term supply/demand.,"Issuer sites (SPDR/iShares), vendor feeds.",Large creations can mechanically lift baskets; watch into rebalance windows.
ETF/Flows/Positioning,Sector/Factor Fund Flows,Rotation signals; crowding risk.,Flow vendors; ETF analytics platforms.,Use with relative strength and macro backdrop.
ETF/Flows/Positioning,COT (Futures),Spec vs commercial positioning; swing bias.,CFTC weekly reports.,Lagged but valuable at extremes and trend inflections.
ETF/Flows/Positioning,Dealer/Market-Maker Metrics,Gamma/vega supply/demand; pin/squeeze context.,Model providers (SpotGamma et al.).,"Interpret carefully; models are estimates, not direct disclosures."
Short Interest/Borrow/Liquidity,"Short Interest %, Days-to-Cover",Squeeze risk/opportunity; risk management.,Exchange/FINRA data; vendor aggregations.,Combine with catalysts and options walls for explosive setups.
Short Interest/Borrow/Liquidity,Borrow Fee & Availability,Cost of short; signal of scarcity/crowding.,Prime broker/vendors; retail approximations via platforms.,High borrow fees can sustain squeezes even absent catalysts.
Short Interest/Borrow/Liquidity,Dark-Pool Prints/Off-Exchange %,Hidden flow; accumulation/distribution clues.,Specialist vendors; FINRA/ATS summaries.,"Rising off-exchange % can precede directional moves, but confirm with price."
Alternative Data,Credit-Card/Transaction Data,Real-time consumer demand proxy; earnings ahead of prints.,"Aggregators (Facteus, Yodlee); privacy-compliant feeds.",Powerful but sample-bias prone; use with industry controls.
Alternative Data,Web/App Traffic & Downloads,Digital demand and engagement trends.,"SimilarWeb, Sensor Tower, Apptopia.",Signals better for consumer/tech; lag for enterprise.
Alternative Data,Social Engagement/Influencers,Narrative momentum; meme-cycle timing.,"Brandwatch, platform APIs.",Use velocity/acceleration metrics more than levels.
Alternative Data,"Satellite/Geospatial (Cars, Containers)","Physical activity proxies (retail, ports).","Orbital Insight, RS Metrics.",Expensive; use for big-ticket theses and validation.
Alternative Data,Job Postings & Hiring,Growth/capex intent; regional exposure.,"LinkUp, Indeed datasets.",Leads fundamentals; sector-relative comparisons strongest.
Alternative Data,"Supply-Chain Logistics (Ports, Freight)",Bottlenecks/shocks; margin pressure.,"Project44, Freightos, Baltic indices.",Great for Industrials/Consumer Discretionary input-cost theses.
Alternative Data,Weather/Energy Consumption,Demand/supply shocks; seasonal trades.,"NOAA, WeatherSource, ISOs for power data.",Contextualize with futures curves and regional demand.
Alternative Data,Patent Filings/Citations,Innovation quality and moat expansion.,"USPTO, Google Patents.",Citation-adjusted counts separate noise from meaningful IP.
Narratives/Themes,Topic Frequency & Velocity,Detect emerging themes early; rotate before consensus.,News/social APIs; NLP pipelines.,Combine with price RS and flow for validation.
Narratives/Themes,Influencer Amplification,Assess reach and durability of narratives.,Social graph analytics tools.,Amplification without fundamentals fades quickly—use as fade signal late-cycle.
Narratives/Themes,Narrative vs Fundamentals Divergence,Risk of sharp mean reversion when story breaks.,Overlay transcript/fundamental deltas vs sentiment trajectory.,Helps size/trail stops appropriately in story-driven names.
ESG/Geopolitics/Consumer/Supply-Chain,ESG Scores & Controversies,Multiple risk and mandate flows; screen for blow-up risk.,MSCI/Sustainalytics/Refinitiv datasets.,"Use as constraint/flag, not primary alpha for most strategies."
ESG/Geopolitics/Consumer/Supply-Chain,Sanctions/Tariffs/Policy Risk,Binary risks to revenues/supply chains; country/sector tilts.,"Government publications, policy trackers.",Tail events dominate payoff; treat as risk overlays.
ESG/Geopolitics/Consumer/Supply-Chain,Consumer Confidence/Spending Intention,Cycle stage and discretionary demand proxy.,"Conference Board, U-Mich surveys.",Combine with retail sales and card data for robustness.
ESG/Geopolitics/Consumer/Supply-Chain,Supplier/Customer Exposure Maps,Second-order effects and choke points.,Vendor knowledge graphs; filings; supply-chain datasets.,Key for idiosyncratic risk control and thematic baskets.
ESG/Geopolitics/Consumer/Supply-Chain,Logistics Congestion/Backlogs,Input costs and delivery risk.,"Project44, port authority data, freight indices.",Early warning for margins and inventory dynamics in consumer/industrial names.
Microstructure/Execution (non-HFT),Opening/Closing Auction Imbalances,Time entries around auctions; anticipate gap/close pressure and end-of-day flows.,Exchange feeds (NYSE/Nasdaq imbalance messages) via vendors; broker terminals.,Auctions concentrate liquidity/price discovery; large imbalances can ‘pull’ price into the cross.
Microstructure/Execution (non-HFT),"Intraday Volume Curves (U/V shapes), Seasonality",Plan sizing and stop placement versus expected volume; schedule entries away from illiquid troughs.,Historical minute bars; broker analytics; vendor datasets.,Most symbols follow predictable intraday volume distributions; deviations hint at catalysts.
Microstructure/Execution (non-HFT),Order Book Depth / Liquidity Pockets,Avoid slippage; scale in near resting liquidity; detect spoof-like behavior (prudently).,Level 2/Depth-of-book (LOB) feeds from exchanges via data vendors/brokers.,Use as risk control and timing input; not for microsecond edges.
Microstructure/Execution (non-HFT),Bid-Ask Spread / NBBO Quality by Venue,Estimate transaction cost and preferred routing; avoid wide spreads.,Consolidated tape + venue-level stats; broker TCA reports.,Tighter venues lower slippage; spreads widen around events/illiquid hours.
Microstructure/Execution (non-HFT),Slippage & Fill Rate Benchmarks,Set realistic entry/exit assumptions; pick limit vs market order tactics.,"Broker TCA, historical trade/quote matching.",Critical for backtests to match real execution outcomes.
Microstructure/Execution (non-HFT),Halt/Resume Codes & LULD Bands,Manage risk during volatility halts; re-entry timing on resume.,Exchange notices; broker feeds show LULD price bands.,Halts concentrate risk; options and dark-pool prints may still occur around resumes.
Corporate Actions/Index Mechanics,Dividends/Splits/Specials,"Adjust price series, anticipate ex-dividend gaps; income strategies.","Exchange corp actions feeds, vendor calendars.",Unadjusted charts can mislead; monitor special dividends for supply/demand shifts.
Corporate Actions/Index Mechanics,"Spin-offs, Rights, Tender Offers",Identify value unlocks/technical selling windows.,"Filings (8-K, prospectus) and vendor action calendars.",Forced selling in spinco can create mispricings for weeks.
Corporate Actions/Index Mechanics,Index Adds/Deletes (S&P/MSCI/FTSE),"Anticipate passive flows and rebalances; pre-position in adds, fade deletes post-flow.","Index provider announcements, vendor calendars.",Flows from indexers can dominate near announcement/effective dates.
Corporate Actions/Index Mechanics,Russell Reconstitution Effects,Exploit predictable flows at annual rebalance; liquidity spikes.,FTSE Russell events calendar; vendor simulations.,Well-known yet still impactful each June; pair with microstructure data.
ECM/Lockups/Float,IPO Calendars & Pricing/Allocation,Price discovery and day-1 supply/demand; trade hot/cold deals.,"Underwriter calendars, Nasdaq/NYSE calendars, vendor terminals.",Deal quality varies; track oversubscription and early market tone.
ECM/Lockups/Float,Secondaries/Converts/ATMs,Supply shocks; pressure on shares; hedge converts via credit/vol.,Press releases/filings; vendor ECM trackers.,Monitor size vs float and discount depth to gauge impact.
ECM/Lockups/Float,Insider Lockup Expiries,Anticipate unlock-driven supply; time shorts/hedges.,"Prospectuses, vendor lockup calendars.",High-float increases around expiries often pressure price.
ECM/Lockups/Float,Share Count/Float Changes,EPS and liquidity impacts; squeeze dynamics.,Filings; vendor fundamentals.,Float drift alters borrow and technical character of a stock.
Analyst/Sell-Side,Rating/Target Changes & Initiations,Expectation reset; short-term momentum or fade setups.,Broker note aggregators; terminals; news wires.,Impact depends on analyst credibility and surprise vs consensus.
Analyst/Sell-Side,Estimate Dispersion/Uncertainty,Higher dispersion → wider outcomes; position sizing and optionality.,Consensus datasets; terminals.,Low dispersion can set up outsized moves on surprise.
Analyst/Sell-Side,Whisper Numbers & Preview Notes,Cross-check street expectations vs ‘whispers’ ahead of earnings.,Premium services; curated research feeds.,Useful as sentiment gauge; treat with skepticism and corroborate.
Systematic Flow Proxies,CTA Trend Model Exposure (Est.),Anticipate mechanical buy/sell flows in futures/indices.,Third-party model providers; DIY with price/vol inputs.,Not disclosed by CTAs; approximate with transparent rules.
Systematic Flow Proxies,Vol-Control / Risk-Parity Exposure (Est.),Equity demand that scales with realized vol; de-risk on vol spikes.,Model estimates from research vendors.,Explains melt-ups/meltdowns unlinked to fundamentals.
Systematic Flow Proxies,Corporate Buyback Execution Pace,Actual bid in the market vs authorizations; support in selloffs.,"Issuer 10b5-1 disclosures (limited), vendor estimates.",Pace varies with blackout windows; don’t conflate authorization with execution.
Fixed Income/Credit (Deep),TRACE Cash Bond Prints,Credit risk pricing; leads equity stress in sectors.,FINRA TRACE via vendors.,Single-name credit widening often precedes equity drawdowns.
Fixed Income/Credit (Deep),Primary Issuance Calendar (IG/HY),Supply impact on spreads; sector liquidity pulses.,Dealer/terminal calendars; vendor data.,Heavy supply can pressure spreads; watch reception metrics.
Fixed Income/Credit (Deep),CDS (Single-Name & Sovereign),Pure credit risk view; hedge/indicator for equities.,CDS vendors/terminals.,Useful when bonds are illiquid; jump risk around events.
Fixed Income/Credit (Deep),Primary Dealer/TIC Positions,Macro plumbing and flow context; duration absorption.,Fed/UST releases; vendor dashboards.,Large swings correlate with term premium/liquidity regimes.
ETF Structure/Frictions,NAV Premium/Discount & Fair Value,Spot dislocations; mean-reversion trades and risk flags.,ETF issuer data; terminals.,Persistent discounts in stressed markets warn of liquidity issues.
ETF Structure/Frictions,Creation Baskets (In-kind vs Cash),Understand which components face flows during creations/redemptions.,Issuer disclosures; vendor analytics.,In-kind lowers tax/friction; cash creations can pressure underlying.
ETF Structure/Frictions,Rebalance & Methodology Quirks,"Anticipate predictable trades (e.g., equal-weight resets).",Index methodology docs; vendor calendars.,Systematic rebalances create seasonality edges.
International/ADR,ADR vs Local Share Basis,Arb flags and information lead/lag; FX-adjusted returns.,Local exchange data + ADR prices; FX rates.,Dislocations can persist around local holidays/halts.
International/ADR,Country Breadth & CDS,Country-level risk-on/off and policy risk.,Country indices constituents + CDS vendors.,Pairs well with EM macro signals and FX regimes.
International/ADR,Capital Controls & Settlement Friction,Event risk for repatriation and liquidity.,Policy trackers; broker notes.,Non-economic barriers can override fundamentals short-term.
REITs/Real Estate,Occupancy & Same-Store NOI,Core REIT operational health; distribution sustainability.,Company supplements/filings; industry trackers.,Drives dividend safety and NAV trajectories.
REITs/Real Estate,Cap Rates & Private Market Comps,Public vs private value gap; re-rating catalysts.,Appraisal surveys; broker research.,Widening cap rates compress multiples; watch transaction prints.
REITs/Real Estate,CMBS Delinquencies,Credit stress in property types/regions; leads REIT weakness.,"Industry datasets (Trepp, etc.).",Useful for office/retail stress mapping.
Regulatory/Legal,FTC/DOJ Antitrust Dockets,Binary M&A/regulatory risk; scenario analysis.,Agency sites; legal databases.,Outcome drives multi-quarter trajectories in affected names.
Regulatory/Legal,ITC Trade Actions/Tariffs,Margin shocks and supply disruptions; sector rotations.,ITC releases; customs data.,Import-sensitive sectors react strongly to rulings.
Regulatory/Legal,Key Litigation (PACER),Tail risks and settlement odds; catalyst timing.,PACER aggregators; legal news.,Material cases can cap multiples until resolved.
Commodities (Granular),LME/SHFE Inventories,Industrial metals supply/demand signal; arb with futures.,Exchange bulletins/APIs via vendors.,Inventory draws often precede price uptrends.
Commodities (Granular),Refinery/Industrial Outage Logs,Short-term supply shocks; regional price impact.,Agency/industry reports; vendor alerts.,Outages shift crack spreads and product prices quickly.
Commodities (Granular),Basis (Cash vs Futures),Local supply-demand imbalance; delivery risk.,Exchange/merchant data; vendor analytics.,Strong basis informs roll/hedge decisions in commodity equities.
FX Options/Term Structure,Risk-Reversals (25D),Asymmetry of tail risk priced by markets; direction bias.,FX vol surface vendors/terminals.,Useful for macro hedging and surprise probability assessment.
FX Options/Term Structure,Butterflies & Smile Dynamics,Shape of tail pricing; event hedging structures.,Vol surface data; option analytics tools.,Skew changes around CB events signal shifting risk perceptions.
FX Options/Term Structure,Term Structure by Tenor,Timing of expected shocks; path dependency.,Vendor surfaces; DIY from listed options.,Flattening/steepening around events informs hedge tenor.
Crypto Microstructure,Order Book Heatmaps & Liquidity Density,Anticipate liquidation hunts and liquidity grabs.,Exchange websockets; third-party heatmap tools.,Highly path-dependent; combine with funding/OI.
Crypto Microstructure,Liquidation Levels & Cumulative Liquidations,Squeeze risk zones and cascade potential.,Derivatives exchange APIs; analytics vendors.,Key driver of short-term crypto volatility.
Crypto Microstructure,CEX/DEX Market Share & Depth,Venue quality and slippage risk; rotation of liquidity.,Exchange stats; DEX aggregators.,Market share shifts change microstructure character of assets.
Crypto Microstructure,MEV Metrics & Validator/Staking Health,Protocol-level frictions and yield; chain security.,On-chain dashboards; validator explorers.,Impacts L2/L1 rotation and real yield narratives.
Crypto Microstructure,L2 Fees/Gas & Bridge Latencies,User experience and adoption friction; flow bottlenecks.,Chain explorers; bridge analytics.,Fee spikes can stall activity; latency impacts rotations.
Shorts/Settlement (Deep),Fails-to-Deliver (FTD) & Threshold Securities,Spot settlement stress and synthetic pressure.,Reg SHO reports; vendor aggregations.,Persistent FTDs can coincide with disorderly squeezes.
Shorts/Settlement (Deep),Securities Lending Utilization & Recalls,Borrow scarcity and forced buy-ins risk.,Lending platforms; vendor estimates.,High utilization with rising fees amplifies squeeze dynamics.
Shorts/Settlement (Deep),Corporate Actions Interaction with Shorts,"Edge cases (splits, special dividends) affecting borrow and squeezes.",Broker notices; corp action docs.,Operational details can trigger forced covering.
Alt-Data (Finer),App Review NLP & Star Drift,Detect user satisfaction trends for consumer apps.,App store scrapes; NLP pipelines.,Bridges the gap between downloads and engagement quality.
Alt-Data (Finer),Promo/Coupon Intensity & Pricing Scrapes,Gross margin risk and demand elasticity.,Web scraping; retail trackers.,Rising promo intensity can front-run margin compressions.
Alt-Data (Finer),Bills of Lading / Import-Export,Company-specific shipment trends; supply chain health.,Panjiva/ImportGenius-style datasets.,Great for retail/industrial names tied to trade flows.
Alt-Data (Finer),Foot-Traffic Geofencing,Store/venue demand proxy and cannibalization effects.,Mobile location data vendors.,Strong for brick-and-mortar comps and event studies.
Risk/Portfolio Stats,Factor Exposures (Fama-French/Barra-like),Avoid unintended bets; size to portfolio factor mix.,Risk model vendors or DIY factor regressions.,Critical for drawdown control and diversification.
Risk/Portfolio Stats,Beta/Correlation Regimes,Detect fragility and concentration; throttle gross/net.,Rolling regressions vs indices/sectors.,Correlations spike in stress regimes; plan hedges accordingly.
Risk/Portfolio Stats,VaR/Expected Shortfall & Drawdown Profiles,Risk budgeting and stop frameworks; scenario prep.,Backtest engine + distributional stats; vendor risk tools.,Use regime-specific VaR to avoid false comfort from calm periods.
Risk/Portfolio Stats,Event Study Libraries (Playbooks),Codify repeatable reactions to earnings/FOMC/M&A/etc.,Internal research DB + public calendars.,Institutionalize edge: expectation vs outcome patterns over time.
Seasonality/Calendars,Monthly/Quarterly Seasonality by Asset,Bias and schedule context for swing trades.,Historical return databases; DIY factor seasonality.,"Seasonality is a tiebreaker, not a primary signal."
Seasonality/Calendars,OPEX/Quarterly Expiry/Index Rebalance Windows,Anticipate flow-driven pin/squeeze effects.,Exchange calendars; vendor reminders.,Combine with gamma/GEX and OI walls for precision.
Seasonality/Calendars,Holidays/Early Closes & Fiscal Calendars,Liquidity and reporting cadence planning.,Exchange calendars; company IR pages.,Thin liquidity regimes change signal reliability.
